"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1905","Click the Add charger","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","2044","Click the Favorites Back button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","1649","Click the My Vehicle back button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","2584","Click the Review button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","1099","Click the Favorites button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","4934","Enter Registration Number","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","2214","Click the Host charger screen Back Button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","3787","Enter the Vehicle brand name","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","1984","Click the Favorite charger","Profile","2026-02-24","passed","2026-02-24","","","",""
"","2781","Click the Vehicle","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
